stribID,NameInRealtorsData,GEOID,FullName,CityName,ZillowName,COUNTY,STATE,subdiv_geoid,subdiv_full_name,multiplecounties,location,County13,type,neighborhoodname
189,Stillwater,16000US2762824,"Stillwater, MN",Stillwater,Stillwater,Washington,MN,06000US2716362824,"Stillwater city, Washington County, MN",,outer suburbs,y,city,
190,Saint Paul Park,16000US2758018,"St. Paul Park, MN",St. Paul Park,Saint Paul Park,Washington,MN,06000US2716358018,"St. Paul Park city, Washington County, MN",,inner suburbs,y,city,
191,Saint Mary's Point,16000US2757292,"St. Marys Point, MN",St. Marys Point,,Washington,MN,06000US2716357292,"St. Marys Point city, Washington County, MN",,outer suburbs,y,city,
192,Pine Springs,16000US2751316,"Pine Springs, MN",Pine Springs,,Washington,MN,06000US2716351316,"Pine Springs city, Washington County, MN",,inner suburbs,y,city,
193,Oak Park Heights,16000US2747914,"Oak Park Heights, MN",Oak Park Heights,,Washington,MN,06000US2716347914,"Oak Park Heights city, Washington County, MN",,outer suburbs,y,city,
194,Oakdale,16000US2747680,"Oakdale, MN",Oakdale,Oakdale,Washington,MN,06000US2716347680,"Oakdale city, Washington County, MN",,inner suburbs,y,city,
195,Newport,16000US2745790,"Newport, MN",Newport,Newport,Washington,MN,06000US2716345790,"Newport city, Washington County, MN",,inner suburbs,y,city,
196,Marine on Saint Croix,16000US2740562,"Marine on St. Croix, MN",Marine on St. Croix,Marine on Saint Croix,Washington,MN,06000US2716340562,"Marine on St. Croix city, Washington County, MN",,outer suburbs,y,city,
197,Mahtomedi,16000US2739428,"Mahtomedi, MN",Mahtomedi,Mahtomedi,Washington,MN,06000US2716339428,"Mahtomedi city, Washington County, MN",,inner suburbs,y,city,
198,Lake Saint Croix Beach,16000US2734865,"Lake St. Croix Beach, MN",Lake St. Croix Beach,,Washington,MN,06000US2716334865,"Lake St. Croix Beach city, Washington County, MN",,outer suburbs,y,city,
199,Lakeland Shores,16000US2734658,"Lakeland Shores, MN",Lakeland Shores,,Washington,MN,06000US2716334658,"Lakeland Shores city, Washington County, MN",,outer suburbs,y,city,
200,Lakeland,16000US2734622,"Lakeland, MN",Lakeland,Lakeland,Washington,MN,06000US2716334622,"Lakeland city, Washington County, MN",,outer suburbs,y,city,
201,Lake Elmo,16000US2734244,"Lake Elmo, MN",Lake Elmo,Lake Elmo,Washington,MN,06000US2716334244,"Lake Elmo city, Washington County, MN",,outer suburbs,y,city,
202,Hugo,16000US2730392,"Hugo, MN",Hugo,Hugo,Washington,MN,06000US2716330392,"Hugo city, Washington County, MN",,outer suburbs,y,city,
203,Grant,16000US2725334,"Grant, MN",Grant,,Washington,MN,06000US2716325334,"Grant city, Washington County, MN",,outer suburbs,y,city,
204,Cottage Grove,16000US2713456,"Cottage Grove, MN",Cottage Grove,Cottage Grove,Washington,MN,06000US2716313456,"Cottage Grove city, Washington County, MN",,outer suburbs,y,city,
205,Birchwood Village,16000US2706058,"Birchwood Village, MN",Birchwood Village,,Washington,MN,06000US2716306058,"Birchwood Village city, Washington County, MN",,outer suburbs,y,city,
206,Bayport,16000US2704114,"Bayport, MN",Bayport,Bayport,Washington,MN,06000US2716304114,"Bayport city, Washington County, MN",,outer suburbs,y,city,
207,Afton,16000US2700316,"Afton, MN",Afton,Afton,Washington,MN,06000US2716300316,"Afton city, Washington County, MN",,outer suburbs,y,city,
208,Waverly,16000US2768764,"Waverly, MN",Waverly,,Wright,MN,06000US2717168764,"Waverly city, Wright County, MN",,Exurbs,n,city,
209,South Haven,16000US2761402,"South Haven, MN",South Haven,,Wright,MN,06000US2717161402,"South Haven city, Wright County, MN",,Exurbs,y,city,
210,Saint Michael,16000US2757346,"St. Michael, MN",St. Michael,,Wright,MN,06000US2717157346,"St. Michael city, Wright County, MN",,Exurbs,y,city,
211,Montrose,16000US2743810,"Montrose, MN",Montrose,,Wright,MN,06000US2717143810,"Montrose city, Wright County, MN",,Exurbs,y,city,
212,Monticello,16000US2743774,"Monticello, MN",Monticello,,Wright,MN,06000US2717143774,"Monticello city, Wright County, MN",,Exurbs,y,city,
213,Maple Lake,16000US2740220,"Maple Lake, MN",Maple Lake,,Wright,MN,06000US2717140220,"Maple Lake city, Wright County, MN",,Exurbs,y,city,
214,Howard Lake,16000US2730284,"Howard Lake, MN",Howard Lake,,Wright,MN,06000US2717130284,"Howard Lake city, Wright County, MN",,Exurbs,n,city,
215,Cokato,16000US2712430,"Cokato, MN",Cokato,,Wright,MN,06000US2717112430,"Cokato city, Wright County, MN",,Exurbs,y,city,
216,Clearwater,16000US2711800,"Clearwater, MN",Clearwater,,Wright,MN,06000US2717111800,"Clearwater city, Wright County, MN",2,Exurbs,y,city,
217,Buffalo,16000US2708452,"Buffalo, MN",Buffalo,,Wright,MN,06000US2717108452,"Buffalo city, Wright County, MN",,Exurbs,y,city,
218,Annandale,16000US2701684,"Annandale, MN",Annandale,,Wright,MN,06000US2717101684,"Annandale city, Wright County, MN",,Exurbs,y,city,
219,Albertville,16000US2700730,"Albertville, MN",Albertville,,Wright,MN,06000US2717100730,"Albertville city, Wright County, MN",,Exurbs,y,city,
220,Minneapolis-St. Paul Metro Area,16000US2733460,Minneapolis-St. Paul Metro Area,,,,,,,,Metro,y,city,
221,Armatage,,Armatage (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Armatage
222,Audubon Park,,Audubon Park (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Audubon Park
223,Bancroft,,Bancroft (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Bancroft
224,Beltrami,,Beltrami (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Beltrami
225,Bottineau,,Bottineau (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Bottineau
226,Bryant,,Bryant (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Bryant
227,Bryn Mawr,,Bryn Mawr (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Bryn Mawr
228,Calhoun (CARAG),,Calhoun (CARAG) (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Calhoun (CARAG)
229,Cedar - Isles - Dean,,Cedar - Isles - Dean (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Cedar - Isles - Dean
230,Cedar-Riverside,,Cedar Riverside (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Cedar Riverside
231,Central,,Central (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Central
232,Cleveland,,Cleveland (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Cleveland
233,Columbia Park,,Columbia Park (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Columbia Park
234,Southeast Como,,Como (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Como
